Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
6,a,300.15,2,0.2473,0.5044,0.2483,0.0,0.0,0.0,0.0,0.0,0.8911444837139549,0.002678691122432553,0.106079850841871,0.0,0.0,0.0,0.0,0.0,0.009601294632002372,0.6896287448170773,0.3008057621634447,0.0,0.0,0.0,0.0,0.0,0.2696393192210348,2,319.1889383480835,911.5668150442505,621.3778766961669,331.1889383480835,277.1889383480835
6,a,323.15,2,0.3114,0.3907,0.2979,0.0,0.0,0.0,0.0,0.0,0.8360428985384668,0.01778467841944013,0.1463477137772545,0.0,0.0,0.0,0.0,0.0,0.03132832527141002,0.5897744922650664,0.3788036064904228,0.0,0.0,0.0,0.0,0.0,0.3480385269916615,2,319.1889383480835,911.5668150442505,621.3778766961669,331.1889383480835,277.1889383480835
7,a,303.15,1,0.3761,0.3065,0.3174,0.0,0.0,0.0,0.0,0.0,0.9393887464402083,0.00001041598240554568,0.06763114540206919,0.0,0.0,0.0,0.0,0.0,0.00001000000000000046,0.5111333579032588,0.4841627289190071,0.0,0.0,0.0,0.0,0.0,0.4003603460533884,1,304.8511000639736,910.5533001919208,620.7022001279472,330.8511000639737,276.8511000639736
7,a,318.15,1,0.4251,0.3726,0.2023,0.0,0.0,0.0,0.0,0.0,0.9343775133660484,0.00001023565559284351,0.0703264171217512,0.0,0.0,0.0,0.0,0.0,9.999999999997065e-6,0.6835977934787075,0.3124573285160774,0.0,0.0,0.0,0.0,0.0,0.45494946465831,1,304.8511000639736,910.5533001919208,620.7022001279472,330.8511000639737,276.8511000639736
7,a,333.15,1,0.3075,0.2893,0.4032,0.0,0.0,0.0,0.0,0.0,0.8821934375295285,0.00001010663473175772,0.1273663804024819,0.0,0.0,0.0,0.0,0.0,0.0005477802814288579,0.4438139880008727,0.5505267942164657,0.0,0.0,0.0,0.0,0.0,0.3481582619900471,1,304.8511000639736,910.5533001919208,620.7022001279472,330.8511000639737,276.8511000639736
9,a,298.15,2,0.3542,0.4251,0.2207,0.0,0.0,0.0,0.0,0.0,0.880353063079827,0.02241192821476554,0.09727586140567569,0.0,0.0,0.0,0.0,0.0,0.001857316178001302,0.6947633468698229,0.303351979608726,0.0,0.0,0.0,0.0,0.0,0.4010750024284113,2,319.1828386945529,911.5485160836586,621.3656773891057,331.1828386945529,277.1828386945529
10,a,293.15,2,0.4942,0.4665,0.0393,0.0,0.0,0.0,0.0,0.0,0.9612625777894155,0.01453625222270805,0.02420119698198348,0.0,0.0,0.0,0.0,0.0,0.01903070626561978,0.9263083962138965,0.05466087005784524,0.0,0.0,0.0,0.0,0.0,0.5043018688870365,2,320.4244326140292,915.2732978420877,623.8488652280585,332.4244326140292,278.4244326140292
10,b,298.15,2,0.4665,0.4904,0.0431,0.0,0.0,0.0,0.0,0.0,0.9492257012912801,0.01677247895492498,0.03399441962339333,0.0,0.0,0.0,0.0,0.0,0.04224725514701675,0.9066566345727672,0.05110261402680907,0.0,0.0,0.0,0.0,0.0,0.4677649691197864,2,320.7795402256156,916.3386206768466,624.5590804512311,332.7795402256156,278.7795402256156
10,b,298.15,2,0.4672,0.4665,0.0663,0.0,0.0,0.0,0.0,0.0,0.9407359360009192,0.01604120885728681,0.04322288028864272,0.0,0.0,0.0,0.0,0.0,0.04704482732681817,0.8661794684117744,0.0867756819493129,0.0,0.0,0.0,0.0,0.0,0.470134668002385,2,320.7795402256156,916.3386206768466,624.5590804512311,332.7795402256156,278.7795402256156
10,b,298.15,2,0.4083,0.4118,0.1799,0.0,0.0,0.0,0.0,0.0,0.8765173576574588,0.01222221196673905,0.111260459001615,0.0,0.0,0.0,0.0,0.0,0.04077054250497171,0.7254504985583343,0.2337789364667252,0.0,0.0,0.0,0.0,0.0,0.4397617206928516,2,320.7795402256156,916.3386206768466,624.5590804512311,332.7795402256156,278.7795402256156
