Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Rapeseed oil biodiesel - Ethanol - Rapeseed oil,313.0,0.08795375690643165,0.0,0.14214544082164202,0.166924212177714,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,318.15,0.22547163536445786,0.22926711384873458,0.08284928067349183,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,328.15,0.13787423338665916,0.27834310392889416,0.09581191142490489,0.0,0.0,0.0,0.0,0.0
Refined rice bran oil biodiesel - DAG - MAG - Ethanol,318.2,0.0,0.0,0.13512971621886777,0.1674125167674028,0.08290597049518987,0.08413187902332955,0.0,0.0
Grape seed oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.8261182334831431,1.6164680461587058,0.0,0.0,0.10523975088083919,0.8910751163816587
Peanut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.8400208775628685,1.3320345994301337,0.0,0.0,0.06561472453016864,1.164451980314961
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,333.15,1.2887248297343668,0.7969389576174956,0.19423741122102864,0.0,0.0,0.0,0.0,0.7323008507793225
,318.15,0.7698842376038612,0.30495233046562287,0.38002534759896384,0.0,0.0,0.0,0.0,0.09069970800109071
Waste fish oil biodiesel - Methanol - Glycerol,298.15,0.2143603570835577,1.041845275026247,0.06396454148325646,0.0,0.0,0.0,0.0,0.0
Corn oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.21370991377444276,0.406658640273307,0.0,0.0,0.14181633203047167,1.3313388652316962
Linoleic oil biodiesel - Ethanol - Glycerol,353.15,0.5207550169123988,0.4904602639638887,0.17188350321161983,0.0,0.0,0.0,0.0,0.0
Corn oil biodiesel - Methanol - Glycerol,293.15,0.28205066542778245,1.1595367841975408,0.016433466774430194,0.0,0.0,0.0,0.0,0.0
Sunflower oil - Oleic acid - Methanol/Ethanol,303.15,0.0,0.0,0.2294631989447093,0.42625410069195824,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol - Water,298.0,0.5093072375216045,0.9234996127275089,0.18816730928153927,0.0,0.0,0.0,0.0,0.7909733815152897
Crude grape seed oil - Oleic acid - Ethanol - Water,283.15,0.0,0.0,0.9039804674554852,1.4372379130938275,0.0,0.0,0.11812800548272794,0.7145536301714053
Rice bran oil - Ethanol - Free Fatty Acids - Water,283.15,0.0,0.0,0.08337418203402275,0.22137058811539745,0.0,0.0,0.16934988547255178,0.31557468660982535
Coconut oil biodiesel - Ethanol - Glycerol,293.15,0.11448429154001544,0.19697365231559583,0.09633804307988014,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,343.15,0.4593283822143462,0.6674131667501746,0.0924674625419522,0.0,0.0,0.0,0.0,0.0
Frying oil biodiesel - Methanol - Glycerol,303.15,0.6253979344316345,0.5405480247093173,0.052345337992521807,0.0,0.0,0.0,0.0,0.0
Linseed oil biodiesel - Methanol - Glycerol,315.0,0.30182304626032164,0.24874959226516521,0.038829691988313424,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,303.15,0.90387991820544,0.5641285437319484,0.05282052492198755,0.0,0.0,0.0,0.0,0.0
Avocado Seed oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.8149689106082321,1.249565133059734,0.0,0.0,0.07003436704982684,1.1924371709725468
Waste fish oil biodiesel - Methanol - Glycerol,328.15,0.16978432243242383,0.4932280234799965,0.03433363559527906,0.0,0.0,0.0,0.0,0.0
Corn oil - Oleic acid - Methanol/Ethanol,313.15,0.0,0.0,0.22478255729067012,0.4009325182992803,0.0,0.0,0.03239100415855022,0.0
Rice bran oil - Ethanol - Oelic acid - Water,298.15,0.0,0.0,0.585091103322463,1.1469409902796022,0.0,0.0,0.08459642749974851,0.4132101427596089
Castor oil biodiesel - Ethanol - Glycerol,333.15,0.30191836540847783,0.10628366907314177,0.005058986933644784,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,323.15,1.6200036175037926,1.043979458361199,0.056552119218442144,0.0,0.0,0.0,0.0,0.0
,315.15,0.036206826158152176,0.10709881866171306,0.23273186518575634,0.0,0.0,0.0,0.0,0.5580071412146014
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,303.15,1.2639209951410697,0.6972942942922021,0.20939448293111523,0.0,0.0,0.0,0.0,1.0944798895438055
Fodder radish oil biodiesel - Ethanol - Water,298.2,1.3117116763943806,0.0,0.48195433720182584,0.0,0.0,0.0,0.0,1.3929519453351775
Palm oil biodiesel - Ethanol - Glycerol,323.15,0.2841086199173833,0.09156671069739394,0.05793511885407325,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,298.15,0.4491894152955436,0.08217994399021764,0.044198280226759666,0.0,0.0,0.0,0.0,0.0
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,298.15,0.5020399114728271,0.3563638309422512,0.11190270699106879,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,298.15,0.2141874305112577,0.2890674064870516,0.029667768445599384,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,318.15,0.8506138654284495,1.0958288416028603,0.215471337170955,0.0,0.0,0.0,0.0,1.068842572557733
Soybean oil biodiesel - Ethanol - Glycerol,293.15,0.0459243640880194,0.28436819340774205,0.05004506102292582,0.0,0.0,0.0,0.0,0.0
Refined cottonseed oil biodiesel - DAG - MAG - Ethanol,303.2,,,,,,,,
Soybean oil biodiesel - Ethanol - Glycerol,333.15,0.21284255416797296,0.11531343482437816,0.016912495737885724,0.0,0.0,0.0,0.0,0.0
Lauric oil biodiesel - Ethanol - Glycerol,353.15,0.6135166835678043,0.808103804279484,0.07465573703463745,0.0,0.0,0.0,0.0,0.0
Palm oil biodiesel - Ethanol - Glycerol,298.15,0.5416409374832967,0.08818224291747703,0.0506847939973219,0.0,0.0,0.0,0.0,0.0
Refined soybean oil biodiesel - DAG - MAG - Ethanol,303.2,0.0,0.0,0.076389571987796,0.10818821922756298,0.004619077923212371,0.04767007513890045,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,323.15,0.13744525850842787,0.3211446258076098,0.0545449091317093,0.0,0.0,0.0,0.0,0.0
Macuba oil biodiesel - Ethanol - Glycerol,298.15,0.7525508792863718,0.3397477233982783,0.06016046407151225,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Water,323.2,0.07343861210905676,0.0,0.25970156147902207,0.0,0.0,0.0,0.0,0.09226396952286663
Soybean oil biodiesel - Ethanol - Water,333.2,0.00024514170203942273,0.0,0.05025359807309125,0.0,0.0,0.0,0.0,0.11295391729965061
Chicha oil biodiesel - Ethanol - Glycerol,303.15,0.10661489077008403,0.31107882369544515,0.016238303751499348,0.0,0.0,0.0,0.0,0.0
,333.15,0.11898463393973013,0.25459271411812123,0.0830425049976025,0.0,0.0,0.0,0.0,0.5339103166694228
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,293.15,0.0,0.0,0.31298200267222276,0.6046201080686413,0.0,0.0,0.07521983278693445,0.0
Brazil Nut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.8677719918187112,1.43205405436954,0.0,0.0,0.07281175791371408,1.3223769184640546
Sunflower oil biodiesel - Methanol - Glycerol,313.15,1.6618199689299438,0.7294865852102028,0.04887912399523102,0.0,0.0,0.0,0.0,0.0
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,318.15,0.18640643213459207,0.1914706189468412,0.09811619892182777,0.0,0.0,0.0,0.0,0.0
