Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Cambre oil biodiesel - Ethanol - Glycerol,338.15,-1.6274359197994492,1.2409813777761871,0.3959969799322875,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,303.15,-2.004311742093626,0.7451228990886569,0.24847760782490028,0.0,0.0,0.0,0.0,0.8462200517359932
Corn oil biodiesel - Methanol - Glycerol,303.15,-1.954110645271917,2.5475308506614978,0.8573510514755004,0.0,0.0,0.0,0.0,0.0
,303.15,-2.8967703396688873,2.583144680892079,0.5184846191427374,0.0,0.0,0.0,0.0,1.3159030628270922
Pretreated cottonseed oil - Ethanol - Linoelic acid - Water,298.15,0.0,0.0,-0.3510507043445598,0.42577991168142376,0.0,0.0,-0.07273100248671042,0.15462536050241316
Linseed oil biodiesel - Methanol - Glycerol,300.0,-1.7142586269318307,2.3891469962642278,0.9172391335113815,0.0,0.0,0.0,0.0,0.0
Babassu oil - Ethanol - Water,318.2,0.0,0.0,0.6437333612202756,-0.9014351966064058,0.0,0.0,0.0,0.9952410666673972
Sunflower oil - DAG - MAG - Ethanol,303.2,0.0,0.0,-0.6668143529181529,0.9042342105104165,0.1756033616693657,-0.5694106747871664,0.0,0.0
Rice bran oil - Ethanol - Oelic acid - Water,298.15,0.0,0.0,0.6470327509757211,-1.2791971929943946,0.0,0.0,-0.037650432670399775,0.8550313092082039
Castor oil biodiesel - Methanol/Ethanol - Glycerol - Water,333.15,-2.4000226744007453,0.779937526109268,0.2840061648969335,0.0,0.0,0.0,0.0,0.8058664752849963
Sunflower oil biodiesel - Methanol - Glycerol,293.15,-2.8863411433308315,2.179280464803586,0.8406265951407518,0.0,0.0,0.0,0.0,0.0
Palm oil biodiesel - Ethanol - Glycerol,323.15,-1.7037310573123732,1.4381610104288118,0.5432342842267387,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Ethanol - Water,333.2,-2.9299708529393507,0.0,0.3130196429837175,0.0,0.0,0.0,0.0,1.1787783405441867
Sunflower oil biodiesel - Methanol - Glycerol,323.15,-3.058513543401293,3.1376733775576167,0.7995154174653961,0.0,0.0,0.0,0.0,0.0
Cottonseed oil biodiesel - Ethanol - Glycerol,313.15,-1.4676238573076672,1.51607632368101,0.3480833030795456,0.0,0.0,0.0,0.0,0.0
Linseed oil biodiesel - Methanol - Glycerol,315.0,-1.7138306184773513,1.5155702304506509,0.7891002368266704,0.0,0.0,0.0,0.0,0.0
Chicha oil biodiesel - Ethanol - Glycerol,333.15,-1.7940227604499457,1.8031561997825045,0.40394560488144937,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,313.15,-3.134323028105129,2.9187449234220986,0.7378462383678082,0.0,0.0,0.0,0.0,0.0
Triolein - Ethanol - Oleic acid,293.15,0.0,0.0,-0.6675850732547262,0.9966315390841617,0.0,0.0,-0.09581225856016055,0.0
Castor oil biodiesel - Methanol - Glycerol,298.15,-3.771973129697061,1.7746807610522624,0.44397425778302263,0.0,0.0,0.0,0.0,0.0
Lauric oil biodiesel - Ethanol - Glycerol,353.15,-1.6821282382555685,1.6464307379495995,0.14239800319854504,0.0,0.0,0.0,0.0,0.0
Linoleic oil biodiesel - Ethanol - Glycerol,353.15,-1.4844744378164152,1.446605344640132,0.2810316434970038,0.0,0.0,0.0,0.0,0.0
Sunflower oil - Oleic acid - Methanol/Ethanol,303.15,0.0,0.0,-1.0730724673930125,1.873395385340769,0.0,0.0,0.0,0.0
Refined cottonseed oil biodiesel - DAG - MAG - Ethanol,303.2,0.0,0.0,-0.37765515018652096,0.5242330116552233,0.07283510589037248,-0.21557078870075877,0.0,0.0
Corn oil - Oleic acid - Methanol/Ethanol,313.15,0.0,0.0,-0.9375710564489927,1.4776459072698607,0.0,0.0,-0.018700954970261262,0.0
Rapeseed oil biodiesel - Ethanol - Rapeseed oil,313.0,0.4805061493559626,0.0,-0.8229458527867569,1.524922582303504,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,333.15,-1.8927571239312817,1.8534319452350814,0.6669142692041985,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,298.15,-2.296429302369463,1.501525268067012,0.47789787362014313,0.0,0.0,0.0,0.0,0.0
10 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,308.15,-2.2725510458687532,2.432686113321981,0.7741508142141714,0.0,0.0,0.0,0.0,0.0
Macuba oil biodiesel - Ethanol - Glycerol,298.15,-2.198465971809513,1.8548669070744006,0.523160262300697,0.0,0.0,0.0,0.0,0.0
Grape seed oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.6814796142071659,-1.5401980271642552,0.0,0.0,-0.1075748677088532,1.0658705029065019
Palmitic oil biodiesel - Ethanol - Glycerol,353.15,-1.9721401582123104,1.7651492018034827,0.2720433133668802,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,293.15,-2.3017766114640215,2.1924981592684394,0.9470651606553,0.0,0.0,0.0,0.0,0.0
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,318.15,-2.1684774205964508,1.9022289080190382,0.7743023367944191,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,313.15,-3.524267273870018,3.0314632119616043,0.700596306640401,0.0,0.0,0.0,0.0,0.0
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,293.15,0.0,0.0,-0.686365155976811,1.0938093410635101,0.0,0.0,-0.029842029436582766,0.0
Corn oil - Ethanol - Oleic acid,298.15,0.0,0.0,-0.5689128992630491,0.790374001066096,0.0,0.0,-0.06952094564109776,0.0
Soybean oil - Oleic acid - Methanol/Ethanol - Water,303.15,0.0,0.0,0.8090665777784511,-1.624137901948416,0.0,0.0,-0.14778508376764612,2.552602253444004
Garlic oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.7311301921021945,-1.6257459221317543,0.0,0.0,-0.0829394934812681,1.2719393380290502
