,Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,R2_othmer_tobias,a_othmer_tobias,b_othmer_tobias
49,4,a,303.15,1,0.266,0.3308,0.4032,0.0,0.0,0.0,0.0,0.0,0.92,0.008,0.07200000000000001,0.0,0.0,0.0,0.0,0.0,0.0074,0.46049999999999996,0.5321,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
50,4,a,303.15,1,0.1864,0.5006,0.313,0.0,0.0,0.0,0.0,0.0,0.94,0.0073,0.0527,0.0,0.0,0.0,0.0,0.0,0.0018,0.6097,0.3885,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
51,4,a,303.15,1,0.2498,0.5603,0.18989999999999999,0.0,0.0,0.0,0.0,0.0,0.9523999999999999,0.0033,0.0443,0.0,0.0,0.0,0.0,0.0,0.0014000000000000002,0.7384999999999999,0.2601,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
52,4,a,303.15,1,0.4072,0.28850000000000003,0.3043,0.0,0.0,0.0,0.0,0.0,0.9248999999999999,0.0060999999999999995,0.069,0.0,0.0,0.0,0.0,0.0,0.0073,0.5,0.4927,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
53,4,a,313.15,1,0.2473,0.5583,0.19440000000000002,0.0,0.0,0.0,0.0,0.0,0.9443,0.0055000000000000005,0.050199999999999995,0.0,0.0,0.0,0.0,0.0,0.0011,0.7587999999999999,0.2401,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
54,4,a,313.15,1,0.41729999999999995,0.4446,0.1381,0.0,0.0,0.0,0.0,0.0,0.9506999999999999,0.0053,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,0.0011,0.7974,0.20149999999999998,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
55,4,a,313.15,1,0.1885,0.5005,0.311,0.0,0.0,0.0,0.0,0.0,0.899,0.0106,0.0904,0.0,0.0,0.0,0.0,0.0,0.0017000000000000001,0.6232,0.3751,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
56,4,a,313.15,1,0.20550000000000002,0.27399999999999997,0.5205,0.0,0.0,0.0,0.0,0.0,0.8379000000000001,0.0121,0.15,0.0,0.0,0.0,0.0,0.0,0.0253,0.3425,0.6322,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
57,4,a,313.15,1,0.2825,0.342,0.37549999999999994,0.0,0.0,0.0,0.0,0.0,0.8683,0.0108,0.1209,0.0,0.0,0.0,0.0,0.0,0.0098,0.5111,0.47909999999999997,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
58,5,a,293.15,1,0.19640000000000002,0.2618,0.5418,0.0,0.0,0.0,0.0,0.0,0.8970999999999999,0.005,0.09789999999999999,0.0,0.0,0.0,0.0,0.0,0.0034000000000000002,0.35,0.6466,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
59,5,a,293.15,1,0.2751,0.3442,0.3807,0.0,0.0,0.0,0.0,0.0,0.9418000000000001,0.0034000000000000002,0.0548,0.0,0.0,0.0,0.0,0.0,0.0086,0.485,0.5064,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
60,5,a,293.15,1,0.4963,0.30260000000000004,0.2011,0.0,0.0,0.0,0.0,0.0,0.9555,0.003,0.0415,0.0,0.0,0.0,0.0,0.0,0.001,0.625,0.374,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
61,5,a,293.15,1,0.23809999999999998,0.5466,0.21530000000000002,0.0,0.0,0.0,0.0,0.0,0.9625,0.002,0.0355,0.0,0.0,0.0,0.0,0.0,0.001,0.7090000000000001,0.29,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
62,5,a,293.15,1,0.3995,0.20829999999999999,0.3922,0.0,0.0,0.0,0.0,0.0,0.9194,0.0426,0.038,0.0,0.0,0.0,0.0,0.0,0.0028000000000000004,0.38,0.6172,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
63,5,a,303.15,1,0.1943,0.212,0.5937,0.0,0.0,0.0,0.0,0.0,0.8572,0.009000000000000001,0.1338,0.0,0.0,0.0,0.0,0.0,0.0304,0.2668,0.7028,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
64,5,a,303.15,1,0.38909999999999995,0.2021,0.40880000000000005,0.0,0.0,0.0,0.0,0.0,0.888,0.008,0.10400000000000001,0.0,0.0,0.0,0.0,0.0,0.0154,0.36060000000000003,0.624,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
65,5,a,303.15,1,0.1989,0.2961,0.505,0.0,0.0,0.0,0.0,0.0,0.9022,0.0078000000000000005,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.3861,0.6039,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
66,5,a,303.15,1,0.3005,0.3317,0.3678,0.0,0.0,0.0,0.0,0.0,0.9248000000000001,0.005,0.0702,0.0,0.0,0.0,0.0,0.0,0.0046,0.4919,0.5035000000000001,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
67,5,a,303.15,1,0.2494,0.5474,0.2032,0.0,0.0,0.0,0.0,0.0,0.9525,0.0025,0.045,0.0,0.0,0.0,0.0,0.0,0.002,0.7384999999999999,0.2595,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
68,5,a,313.15,1,0.2195,0.287,0.4935,0.0,0.0,0.0,0.0,0.0,0.88,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0053,0.396,0.5987,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
69,5,a,313.15,1,0.2764,0.3502,0.3734,0.0,0.0,0.0,0.0,0.0,0.895,0.009000000000000001,0.096,0.0,0.0,0.0,0.0,0.0,0.0034000000000000002,0.5046,0.49200000000000005,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
70,5,a,313.15,1,0.18989999999999999,0.5073,0.3028,0.0,0.0,0.0,0.0,0.0,0.9059999999999999,0.008,0.086,0.0,0.0,0.0,0.0,0.0,0.0031,0.6382,0.35869999999999996,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
71,5,a,313.15,1,0.24780000000000002,0.5532,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.935,0.006999999999999999,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0028000000000000004,0.7486,0.2486,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
72,5,a,313.15,1,0.39299999999999996,0.168,0.439,0.0,0.0,0.0,0.0,0.0,0.855,0.015,0.13,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,0.301,0.67,0.0,0.0,0.0,0.0,0.0,0.6429875687148108,-2.4027227449119715,-0.5553520935898878
73,6,a,300.15,2,0.2348,0.24609999999999999,0.5191,0.0,0.0,0.0,0.0,0.0,0.6970999999999999,0.0322,0.2707,0.0,0.0,0.0,0.0,0.0,0.0623,0.3678,0.5699000000000001,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
74,6,a,300.15,2,0.1301,0.3639,0.506,0.0,0.0,0.0,0.0,0.0,0.8031,0.0125,0.1844,0.0,0.0,0.0,0.0,0.0,0.0339,0.4456,0.5205,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
75,6,a,300.15,2,0.324,0.3362,0.3398,0.0,0.0,0.0,0.0,0.0,0.8371,0.0072,0.1557,0.0,0.0,0.0,0.0,0.0,0.013500000000000002,0.5433,0.4432,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
76,6,a,300.15,2,0.2473,0.5044,0.2483,0.0,0.0,0.0,0.0,0.0,0.8915000000000001,0.0039000000000000003,0.10460000000000001,0.0,0.0,0.0,0.0,0.0,0.0106,0.6923999999999999,0.297,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
77,6,a,300.15,2,0.42,0.4075,0.1725,0.0,0.0,0.0,0.0,0.0,0.9216,0.0013,0.0771,0.0,0.0,0.0,0.0,0.0,0.009899999999999999,0.7406999999999999,0.2494,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
78,6,a,323.15,2,0.3296,0.3332,0.3372,0.0,0.0,0.0,0.0,0.0,0.7992,0.012,0.1888,0.0,0.0,0.0,0.0,0.0,0.0255,0.5225,0.452,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
79,6,a,323.15,2,0.3626,0.3236,0.31379999999999997,0.0,0.0,0.0,0.0,0.0,0.8177,0.0097,0.1726,0.0,0.0,0.0,0.0,0.0,0.0253,0.5555,0.4192,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
80,6,a,323.15,2,0.3114,0.3907,0.2979,0.0,0.0,0.0,0.0,0.0,0.833,0.008,0.159,0.0,0.0,0.0,0.0,0.0,0.0254,0.5720000000000001,0.40259999999999996,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
81,6,a,323.15,2,0.2521,0.4986,0.2493,0.0,0.0,0.0,0.0,0.0,0.8878,0.0037,0.1085,0.0,0.0,0.0,0.0,0.0,0.02,0.6954,0.2846,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
82,6,a,323.15,2,0.1891,0.6274000000000001,0.18350000000000002,0.0,0.0,0.0,0.0,0.0,0.9154000000000001,0.0039000000000000003,0.08070000000000001,0.0,0.0,0.0,0.0,0.0,0.0184,0.7665000000000001,0.2151,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
83,6,a,343.15,2,0.27,0.2712,0.45880000000000004,0.0,0.0,0.0,0.0,0.0,0.6726000000000001,0.0466,0.2808,0.0,0.0,0.0,0.0,0.0,0.13699999999999998,0.34729999999999994,0.5157,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
84,6,a,343.15,2,0.1555,0.42619999999999997,0.4183,0.0,0.0,0.0,0.0,0.0,0.7526999999999999,0.024700000000000003,0.22,0.0,0.0,0.0,0.0,0.0,0.0436,0.5041,0.4523,0.0,0.0,0.0,0.0,0.0,0.9484454966912998,-1.3300409717980344,0.9472540692419497
